project_id,pic,partner_role,pillar_abbr,pillar_descr,thematic_priority_abbr,signature_date,call_deadline_date,eu_contribution,legal_name,legal_short_name,legal_entity_type,country_code,legal_url,ec_contribution,net_ec_contribution,project_acronym,thematic_priority,topic_code,topic_description,participations,framework_programme,start_date,end_date,legal_basis,funding_scheme,country,re_contribution,pillar,signature_year,call_year,start_year
200232,999871927,Participant,NA,NA,NA,NA,NA,NA,UNIVERSITY OF WEST HUNGARY,UWHU,HES,HU,http://www.nyme.hu,9000,NA,HUNICITIES,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,12,FP7,2007-06-01,2007-12-31,FP7-PEOPLE,CSA-SA,Hungary,9000,NA,NA,NA,2007
200232,999566765,Participant,NA,NA,NA,NA,NA,NA,ESZTERHAZY KAROLY FOISKOL,EKU,HES,HU,http://ttk.ektf.hu/,9000,NA,HUNICITIES,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,12,FP7,2007-06-01,2007-12-31,FP7-PEOPLE,CSA-SA,Hungary,9000,NA,NA,NA,2007
200232,999840014,Participant,NA,NA,NA,NA,NA,NA,SZEGEDI TUDOMANYEGYETEM,USZ,HES,HU,http://www.u-szeged.hu,9500,NA,HUNICITIES,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,12,FP7,2007-06-01,2007-12-31,FP7-PEOPLE,CSA-SA,Hungary,9500,NA,NA,NA,2007
200235,998802502,Coordinator,NA,NA,NA,NA,NA,NA,ETHNIKO KENTRO EREVNAS KAI TECHNOLOGIKIS ANAPTYXIS,CENTRE FOR RESEARCH AND TECHNOLOGY HELLAS CERTH,REC,EL,www.certh.gr,2110,NA,REN2007,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,4,FP7,2007-07-01,2007-12-31,FP7-PEOPLE,CSA-SA,Greece,2110,NA,NA,NA,2007
200235,999995893,Participant,NA,NA,NA,NA,NA,NA,IDRYMA TECHNOLOGIAS KAI EREVNAS,FOUNDATION FOR RESEARCH AND TECHNOLOGYHELLAS,REC,EL,http://www.iceht.forth.gr,25000,NA,REN2007,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,4,FP7,2007-07-01,2007-12-31,FP7-PEOPLE,CSA-SA,Greece,25000,NA,NA,NA,2007
200235,999845834,Participant,NA,NA,NA,NA,NA,NA,EPITROPI EREUNON PANEPISTIMIOU THESSALIAS,UTH,HES,EL,www.uth.gr,25000,NA,REN2007,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,4,FP7,2007-07-01,2007-12-31,FP7-PEOPLE,CSA-SA,Greece,25000,NA,NA,NA,2007
200235,999894528,Participant,NA,NA,NA,NA,NA,NA,PANEPISTIMIO PATRON,UNIVERSITY OF PATRAS,HES,EL,http://www.upatras.gr,28890,NA,REN2007,Marie-Curie Actions,PEOPLE-2007-5-1.NIGHT,Marie Curie Action: Researchers' Night 2007,4,FP7,2007-07-01,2007-12-31,FP7-PEOPLE,CSA-SA,Greece,28890,NA,NA,NA,2007
212879,999868823,Participant,NA,NA,NA,NA,NA,NA,SLOVENSKA TECHNICKA UNIVERZITA V BRATISLAVE,SLOVAK UNIVERSITY OF TECHNOLOGY IN BRATISLVA - STUBA,HES,SK,http://www.stuba.sk,4755.18,NA,EURORIS-NET,Research Infrastructures,INFRA-2007-3.0-05,Trans-national co-operation among NCPs,37,FP7,2007-11-01,2011-10-31,FP7-INFRASTRUCTURES,CSA-CA,Slovakia,4755.18,NA,NA,NA,2007
212879,999832448,Participant,NA,NA,NA,NA,NA,NA,Forsknings- og Innovationsstyrelsen,FIST,PUB,DK,http://www.fi.dk or www.dasti.dk,10710.31,NA,EURORIS-NET,Research Infrastructures,INFRA-2007-3.0-05,Trans-national co-operation among NCPs,37,FP7,2007-11-01,2011-10-31,FP7-INFRASTRUCTURES,CSA-CA,Denmark,10710.31,NA,NA,NA,2007
212879,999578696,Participant,NA,NA,NA,NA,NA,NA,NEMZETI KUTATASI FEJLESZTESI ES INNOVACIOS HIVATAL,NKTH,PUB,HU,http://www.nkfih.gov.hu,17658.42,NA,EURORIS-NET,Research Infrastructures,INFRA-2007-3.0-05,Trans-national co-operation among NCPs,37,FP7,2007-11-01,2011-10-31,FP7-INFRASTRUCTURES,CSA-CA,Hungary,17658.42,NA,NA,NA,2007
