framework_programme,call_id,topic_code,topic_descr,project_id,cordis_link,project_acronym,project_title,partner_role,partner_type,pic,legal_entity_vat,legal_name,legal_entity_type,legal_entity_type_descr,city,nuts_3_code,nuts_3_name,country_code,country,eu_contribution,h2020_net_eu_contribution,h2020_total_cost,signature_date,call_deadline_date,thematic_priority_abbr,thematic_priority_descr,sme_flag,project_start_date,project_end_date,pillar_abbr,pillar_descr,simplified_type_of_action,focus_area,call_year
H2020,H2020-IBA-SC1-CORONAVIRUS-2020-4,IBA-SC1-CORONAVIRUS-2020-4,EU-wide Covid-19 vaccine trial network,101037867,http://cordis.europa.eu/project/id/101037867,VACCELERATE,VACCELERATE - European Corona Vaccine Trial Accelerator Platform,PARTICIPANT,BENEFICIARY,999989976,ATU57469858,MEDIZINISCHE UNIVERSITAET WIEN,HES,Higher or secondary education,WIEN,AT130,Wien,AT,Austria,347698.75,347698.75,347698.75,17/02/2021,28/01/2021,HEALTH,"Health, demographic change and wellbeing",No,28/01/2021,27/01/2024,EU.3.,Societal Challenges,Research and Innovation action,Not applicable,2021
H2020,H2020-IBA-SC1-CORONAVIRUS-2020-4,IBA-SC1-CORONAVIRUS-2020-4,EU-wide Covid-19 vaccine trial network,101037867,http://cordis.europa.eu/project/id/101037867,VACCELERATE,VACCELERATE - European Corona Vaccine Trial Accelerator Platform,PARTICIPANT,BENEFICIARY,999997833,FR31180036048,INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE,REC,Research organisations,PARIS,FR101,Paris,FR,France,592603.75,592603.75,592603.75,17/02/2021,28/01/2021,HEALTH,"Health, demographic change and wellbeing",No,28/01/2021,27/01/2024,EU.3.,Societal Challenges,Research and Innovation action,Not applicable,2021
H2020,H2020-IBA-SC1-CORONAVIRUS-2020-4,IBA-SC1-CORONAVIRUS-2020-4,EU-wide Covid-19 vaccine trial network,101037867,http://cordis.europa.eu/project/id/101037867,VACCELERATE,VACCELERATE - European Corona Vaccine Trial Accelerator Platform,PARTICIPANT,THIRDPARTY,986357790,ESG15335219,FUNDACION PROFESOR NOVOA SANTOS,REC,Research organisations,A CORUNA,ES113,Ourense,ES,Spain,12500,12500,12500,17/02/2021,28/01/2021,HEALTH,"Health, demographic change and wellbeing",No,28/01/2021,27/01/2024,EU.3.,Societal Challenges,Research and Innovation action,Not applicable,2021
H2020,H2020-IBA-SC1-CORONAVIRUS-2020-4,IBA-SC1-CORONAVIRUS-2020-4,EU-wide Covid-19 vaccine trial network,101037867,http://cordis.europa.eu/project/id/101037867,VACCELERATE,VACCELERATE - European Corona Vaccine Trial Accelerator Platform,PARTICIPANT,THIRDPARTY,994159888,ESG41918830,FUNDACION PUBLICA ANDALUZA PARA LAGESTION DE LA INVESTIGACION EN SALUD DE SEVILLA,REC,Research organisations,SEVILLA,ES618,Sevilla,ES,Spain,12500,12500,12500,17/02/2021,28/01/2021,HEALTH,"Health, demographic change and wellbeing",No,28/01/2021,27/01/2024,EU.3.,Societal Challenges,Research and Innovation action,Not applicable,2021
H2020,H2020-IBA-SC1-CORONAVIRUS-2020-4,IBA-SC1-CORONAVIRUS-2020-4,EU-wide Covid-19 vaccine trial network,101037867,http://cordis.europa.eu/project/id/101037867,VACCELERATE,VACCELERATE - European Corona Vaccine Trial Accelerator Platform,PARTICIPANT,THIRDPARTY,996155760,ESG83727057,FUNDACION PARA LA INVESTIGACION BIOMEDICA DEL HOSPITAL UNIVERSIATRIO LA PAZ,OTH,Others,MADRID,ES300,Madrid,ES,Spain,360686.26,360686.26,360686.26,17/02/2021,28/01/2021,HEALTH,"Health, demographic change and wellbeing",No,28/01/2021,27/01/2024,EU.3.,Societal Challenges,Research and Innovation action,Not applicable,2021
H2020,H2020-IBA-SC3-EED-2021,IBA-SC3-EED-2021,Concerted Action on the Energy Efficiency Directive support to Member States and participating countries for the implementation of the EED,101048703,http://cordis.europa.eu/project/id/101048703,CA EED3,Concerted Action on the Energy Efficiency Directive,COORDINATOR,BENEFICIARY,972778178,-,MINISTERIE VAN ECONOMISCHE ZAKEN EN KLIMAAT,PUB,Public body (excl. research and education),THE HAGUE,NL332,Agglomeratie ’s-Gravenhage,NL,Netherlands,2527938.75,2527938.75,2527938.75,18/11/2021,09/06/2021,ENERGY,"Secure, clean and efficient energy",No,01/01/2022,31/12/2026,EU.3.,Societal Challenges,Coordination and support action,Not applicable,2021
H2020,H2020-IBA-SC3-EED-2021,IBA-SC3-EED-2021,Concerted Action on the Energy Efficiency Directive support to Member States and participating countries for the implementation of the EED,101048703,http://cordis.europa.eu/project/id/101048703,CA EED3,Concerted Action on the Energy Efficiency Directive,PARTICIPANT,BENEFICIARY,894479875,-,MINISTERUL ENERGIEI,PUB,Public body (excl. research and education),BUCHAREST/BUCUREȘTI,RO321,Bucureşti,RO,Romania,46562.5,46562.5,46562.5,18/11/2021,09/06/2021,ENERGY,"Secure, clean and efficient energy",No,01/01/2022,31/12/2026,EU.3.,Societal Challenges,Coordination and support action,Not applicable,2021
H2020,H2020-IBA-SC3-EED-2021,IBA-SC3-EED-2021,Concerted Action on the Energy Efficiency Directive support to Member States and participating countries for the implementation of the EED,101048703,http://cordis.europa.eu/project/id/101048703,CA EED3,Concerted Action on the Energy Efficiency Directive,PARTICIPANT,BENEFICIARY,898634676,LU31370064,MINISTERE DE L'ENERGIE ET DE L'AMENAGEMENT DU TERRITOIRE,PUB,Public body (excl. research and education),LUXEMBOURG,LU000,Luxembourg,LU,Luxembourg,95925,95925,95925,18/11/2021,09/06/2021,ENERGY,"Secure, clean and efficient energy",No,01/01/2022,31/12/2026,EU.3.,Societal Challenges,Coordination and support action,Not applicable,2021
H2020,H2020-IBA-SC3-EED-2021,IBA-SC3-EED-2021,Concerted Action on the Energy Efficiency Directive support to Member States and participating countries for the implementation of the EED,101048703,http://cordis.europa.eu/project/id/101048703,CA EED3,Concerted Action on the Energy Efficiency Directive,PARTICIPANT,BENEFICIARY,909836430,DE811541332,BUNDESAMT FUR WIRTSCHAFT UND AUSFUHRKONTROLLE,PUB,Public body (excl. research and education),ESCHBORN,DE71A,Main-Taunus-Kreis,DE,Germany,24125,24125,24125,18/11/2021,09/06/2021,ENERGY,"Secure, clean and efficient energy",No,01/01/2022,31/12/2026,EU.3.,Societal Challenges,Coordination and support action,Not applicable,2021
H2020,H2020-IBA-SC3-EED-2021,IBA-SC3-EED-2021,Concerted Action on the Energy Efficiency Directive support to Member States and participating countries for the implementation of the EED,101048703,http://cordis.europa.eu/project/id/101048703,CA EED3,Concerted Action on the Energy Efficiency Directive,PARTICIPANT,BENEFICIARY,916533310,HR19370100881,MINISTARSTVO GOSPODARSTVA I ODRZIVOG RAZVOJA,PUB,Public body (excl. research and education),ZAGREB,HR041,Grad Zagreb,HR,Croatia,60025,60025,60025,18/11/2021,09/06/2021,ENERGY,"Secure, clean and efficient energy",No,01/01/2022,31/12/2026,EU.3.,Societal Challenges,Coordination and support action,Not applicable,2021
